participant_number;RT;condition;block_number;task
11;944;high;0;singleton
11;878;high;0;singleton
11;746;high;0;singleton
11;1024;high;0;singleton
11;1079;high;0;singleton
11;829;high;0;singleton
11;1144;high;0;singleton
11;774;high;0;singleton
11;1097;high;0;singleton
11;1035;high;0;singleton
11;1192;high;0;singleton
11;942;high;0;singleton
11;726;high;0;singleton
11;1016;low;0;singleton
11;1250;low;0;singleton
11;948;low;0;singleton
11;780;low;0;singleton
11;701;low;0;singleton
11;972;distractor_absent;0;singleton
11;920;distractor_absent;0;singleton
11;929;distractor_absent;0;singleton
11;889;distractor_absent;0;singleton
11;942;distractor_absent;0;singleton
11;995;distractor_absent;0;singleton
11;702;distractor_absent;0;singleton
11;935;distractor_absent;0;singleton
11;1016;distractor_absent;0;singleton
11;730;distractor_absent;0;singleton
11;919;distractor_absent;0;singleton
11;989;distractor_absent;0;singleton
11;1070;distractor_absent;0;singleton
11;829;distractor_absent;0;singleton
11;808;distractor_absent;0;singleton
11;839;distractor_absent;0;singleton
11;674;distractor_absent;0;singleton
11;929;distractor_absent;0;singleton
11;600;high;1;singleton
11;565;high;1;singleton
11;589;high;1;singleton
11;757;high;1;singleton
11;629;high;1;singleton
11;724;high;1;singleton
11;667;high;1;singleton
11;866;high;1;singleton
11;719;high;1;singleton
11;736;high;1;singleton
11;715;high;1;singleton
11;765;high;1;singleton
11;930;low;1;singleton
11;956;low;1;singleton
11;648;low;1;singleton
11;770;low;1;singleton
11;955;low;1;singleton
11;695;low;1;singleton
11;1006;distractor_absent;1;singleton
11;744;distractor_absent;1;singleton
11;898;distractor_absent;1;singleton
11;910;distractor_absent;1;singleton
11;981;distractor_absent;1;singleton
11;769;distractor_absent;1;singleton
11;746;distractor_absent;1;singleton
11;781;distractor_absent;1;singleton
11;779;distractor_absent;1;singleton
11;777;distractor_absent;1;singleton
11;807;distractor_absent;1;singleton
11;717;distractor_absent;1;singleton
11;790;distractor_absent;1;singleton
11;680;distractor_absent;1;singleton
11;848;distractor_absent;1;singleton
11;915;distractor_absent;1;singleton
11;754;distractor_absent;1;singleton
11;718;distractor_absent;1;singleton
11;723;distractor_absent;1;singleton
11;830;high;2;singleton
11;761;high;2;singleton
11;652;high;2;singleton
11;977;high;2;singleton
11;924;high;2;singleton
11;721;high;2;singleton
11;1064;high;2;singleton
11;775;high;2;singleton
11;697;high;2;singleton
11;851;high;2;singleton
11;785;high;2;singleton
11;1030;high;2;singleton
11;799;high;2;singleton
11;693;low;2;singleton
11;672;low;2;singleton
11;1027;low;2;singleton
11;925;low;2;singleton
11;894;low;2;singleton
11;1209;low;2;singleton
11;733;distractor_absent;2;singleton
11;588;distractor_absent;2;singleton
11;636;distractor_absent;2;singleton
11;559;distractor_absent;2;singleton
11;744;distractor_absent;2;singleton
11;833;distractor_absent;2;singleton
11;643;distractor_absent;2;singleton
11;1126;distractor_absent;2;singleton
11;1055;distractor_absent;2;singleton
11;1170;distractor_absent;2;singleton
11;949;distractor_absent;2;singleton
11;909;distractor_absent;2;singleton
11;1168;distractor_absent;2;singleton
11;1075;distractor_absent;2;singleton
11;756;distractor_absent;2;singleton
11;760;distractor_absent;2;singleton
11;871;distractor_absent;2;singleton
11;663;distractor_absent;2;singleton
11;847;distractor_absent;2;singleton
11;901;distractor_absent;2;singleton
11;754;distractor_absent;2;singleton
11;828;distractor_absent;2;singleton
11;790;high;3;singleton
11;811;high;3;singleton
11;812;high;3;singleton
11;830;high;3;singleton
11;621;high;3;singleton
11;791;high;3;singleton
11;694;high;3;singleton
11;729;high;3;singleton
11;572;high;3;singleton
11;655;high;3;singleton
11;792;high;3;singleton
11;760;high;3;singleton
11;1207;low;3;singleton
11;948;low;3;singleton
11;842;low;3;singleton
11;586;low;3;singleton
11;831;low;3;singleton
11;924;low;3;singleton
11;724;low;3;singleton
11;686;distractor_absent;3;singleton
11;571;distractor_absent;3;singleton
11;870;distractor_absent;3;singleton
11;862;distractor_absent;3;singleton
11;803;distractor_absent;3;singleton
11;673;distractor_absent;3;singleton
11;817;distractor_absent;3;singleton
11;775;distractor_absent;3;singleton
11;785;distractor_absent;3;singleton
11;622;distractor_absent;3;singleton
11;670;distractor_absent;3;singleton
11;758;distractor_absent;3;singleton
11;618;distractor_absent;3;singleton
11;561;distractor_absent;3;singleton
11;767;distractor_absent;3;singleton
11;1012;distractor_absent;3;singleton
11;663;distractor_absent;3;singleton
11;896;distractor_absent;3;singleton
11;756;distractor_absent;3;singleton
11;704;distractor_absent;3;singleton
